0 0 0 0
10 45 9 43
20 190 19 107
30 435 29 177
40 780 39 255
50 1225 49 335
60 1770 59 415
70 2415 69 501
80 3160 79 592
90 4005 89 681
100 4950 99 771
110 5995 109 861
120 7140 119 953
130 8385 129 1045
140 9730 139 1144
150 11175 149 1245
160 12720 159 1346
170 14365 169 1445
180 16110 179 1547
190 17955 189 1644
200 19900 199 1744
210 21945 209 1845
220 24090 219 1944
230 26335 229 2049
240 28680 239 2148
250 31125 249 2246
260 33670 259 2349
270 36315 269 2463
280 39060 279 2572
290 41905 289 2679
300 44850 299 2792
310 47895 309 2902
320 51040 319 3011
330 54285 329 3121
340 57630 339 3230
350 61075 349 3345
360 64620 359 3454
370 68265 369 3562
380 72010 379 3678
390 75855 389 3785
400 79800 399 3896
410 83845 409 4009
420 87990 419 4118
430 92235 429 4232
440 96580 439 4338
450 101025 449 4449
460 105570 459 4558
470 110215 469 4668
480 114960 479 4785
490 119805 489 4889
500 124750 499 5002
510 129795 509 5120
520 134940 519 5231
530 140185 529 5354
540 145530 539 5475
550 150975 549 5594
560 156520 559 5708
570 162165 569 5834
580 167910 579 5951
590 173755 589 6069
600 179700 599 6193
610 185745 609 6308
620 191890 619 6435
630 198135 629 6552
640 204480 639 6672
650 210925 649 6788
660 217470 659 6917
670 224115 669 7032
680 230860 679 7149
690 237705 689 7278
700 244650 699 7395
710 251695 709 7514
720 258840 719 7638
730 266085 729 7762
740 273430 739 7889
750 280875 749 7998
760 288420 759 8121
770 296065 769 8246
780 303810 779 8357
790 311655 789 8486
800 319600 799 8606
810 327645 809 8731
820 335790 819 8847
830 344035 829 8970
840 352380 839 9092
850 360825 849 9211
860 369370 859 9322
870 378015 869 9456
880 386760 879 9573
890 395605 889 9709
900 404550 899 9824
910 413595 909 9937
920 422740 919 10054
930 431985 929 10174
940 441330 939 10297
950 450775 949 10424
960 460320 959 10557
970 469965 969 10666
980 479710 979 10787
990 489555 989 10913
1000 499500 999 11035
