0 0 0 
100 100 0 
200 200 0 
300 300 0 
400 400 0 
500 500 0 
600 600 0 
700 700 0 
800 800 0 
900 900 0 
1000 1000 0 
1100 1100 0 
1200 1200 0 
1300 1300 0 
1400 1400 0 
1500 1500 0 
1600 1600 0 
1700 1700 0 
1800 1800 0 
1900 1900 0 
2000 2000 0 
2100 2100 0 
2200 2200 0 
2300 2300 0 
2400 2400 0 
2500 2500 0 
2600 2600 0 
2700 2700 0 
2800 2800 0 
2900 2900 0 
3000 3000 0 
3100 3100 0 
3200 3200 0 
3300 3300 0 
3400 3400 0 
3500 3500 0 
3600 3600 0 
3700 3700 0 
3800 3800 0 
3900 3900 0 
4000 4000 0 
4100 4100 0 
4200 4200 0 
4300 4300 0 
4400 4400 0 
4500 4500 0 
4600 4600 0 
4700 4700 0 
4800 4800 0 
4900 4900 0 
5000 5000 0 
5100 5100 0 
5200 5200 0 
5300 5300 0 
5400 5400 0 
5500 5500 0 
5600 5600 0 
5700 5700 0 
5800 5800 0 
5900 5900 0 
6000 6000 0 
6100 6100 0 
6200 6200 0 
6300 6300 0 
6400 6400 0 
6500 6500 0 
6600 6600 0 
6700 6700 0 
6800 6800 0 
6900 6900 0 
7000 7000 0 
7100 7100 0 
7200 7200 0 
7300 7300 0 
7400 7400 0 
7500 7500 0 
7600 7600 0 
7700 7700 0 
7800 7800 0 
7900 7900 0 
8000 8000 0 
8100 8100 0 
8200 8200 0 
8300 8300 0 
8400 8400 0 
8500 8500 0 
8600 8600 0 
8700 8700 0 
8800 8800 0 
8900 8900 0 
9000 9000 0 
9100 9100 0 
9200 9200 0 
9300 9300 0 
9400 9400 0 
9500 9500 0 
9600 9600 0 
9700 9700 0 
9800 9800 0 
9900 9900 0 
10000 10000 0 
