0 0 0 0
1 1000000 1000000 0
2 10000000 10000000 10000000
3 15000000 15000000 15000000
4 20000000 20000000 25000000
5 25000000 25000000 26000000
6 27500000 27500000 27500000
7 30000000 30000000 30000000
8 35000000 35000000 40000000
9 37500000 37500000 42500000
10 45000000 45000000 45000000
11 47500000 47500000 47500000
12 50000000 50000000 50000000
13 55000000 55000000 53000000
14 57500000 57500000 56000000
15 60000000 60000000 60000000
16 65000000 65000000 70000000
17 70000000 70000000 75000000
18 75000000 75000000 80000000
19 77500000 77500000 82500000
20 80000000 80000000 85000000
