0 0 0 0
100 4950 99 771
200 19900 199 1748
300 44850 299 2789
400 79800 399 3896
500 124750 499 5005
600 179700 599 6196
700 244650 699 7396
800 319600 799 8604
900 404550 899 9818
1000 499500 999 11035
1100 604450 1099 12312
1200 719400 1199 13627
1300 844350 1299 14923
1400 979300 1399 16246
1500 1124250 1499 17548
1600 1279200 1599 18864
1700 1444150 1699 20198
1800 1619100 1799 21534
1900 1804050 1899 22850
2000 1999000 1999 24207
2100 2203950 2099 25570
2200 2418900 2199 26931
2300 2643850 2299 28328
2400 2878800 2399 29777
2500 3123750 2499 31184
2600 3378700 2599 32614
2700 3643650 2699 34013
2800 3918600 2799 35439
2900 4203550 2899 36854
3000 4498500 2999 38277
3100 4803450 3099 39699
3200 5118400 3199 41121
3300 5443350 3299 42582
3400 5778300 3399 44005
3500 6123250 3499 45466
3600 6478200 3599 46892
3700 6843150 3699 48365
3800 7218100 3799 49755
3900 7603050 3899 51273
4000 7998000 3999 52723
4100 8402950 4099 54217
4200 8817900 4199 55686
4300 9242850 4299 57160
4400 9677800 4399 58729
4500 10122750 4499 60227
4600 10577700 4599 61742
4700 11042650 4699 63209
4800 11517600 4799 64720
4900 12002550 4899 66287
5000 12497500 4999 67820
5100 13002450 5099 69299
5200 13517400 5199 70835
5300 14042350 5299 72359
5400 14577300 5399 73887
5500 15122250 5499 75433
5600 15677200 5599 76942
5700 16242150 5699 78515
5800 16817100 5799 80043
5900 17402050 5899 81551
6000 17997000 5999 83166
6100 18601950 6099 84677
6200 19216900 6199 86243
6300 19841850 6299 87749
6400 20476800 6399 89291
6500 21121750 6499 90929
6600 21776700 6599 92418
6700 22441650 6699 93950
6800 23116600 6799 95501
6900 23801550 6899 97126
7000 24496500 6999 98635
7100 25201450 7099 100226
7200 25916400 7199 101792
7300 26641350 7299 103388
7400 27376300 7399 104924
7500 28121250 7499 106534
7600 28876200 7599 108079
7700 29641150 7699 109707
7800 30416100 7799 111297
7900 31201050 7899 112953
8000 31996000 7999 114474
8100 32800950 8099 116041
8200 33615900 8199 117661
8300 34440850 8299 119233
8400 35275800 8399 120875
8500 36120750 8499 122553
8600 36975700 8599 124071
8700 37840650 8699 125736
8800 38715600 8799 127301
8900 39600550 8899 128924
9000 40495500 8999 130498
9100 41400450 9099 132201
9200 42315400 9199 133761
9300 43240350 9299 135342
9400 44175300 9399 136992
9500 45120250 9499 138653
9600 46075200 9599 140319
9700 47040150 9699 141912
9800 48015100 9799 143609
9900 49000050 9899 145220
10000 49995000 9999 146818
